10064 - BACIA UNIVERSAL N-40 R:94;7896932400949;Categoria 1;10.36;18.76
10065 - ASSADEIRA ABC RET.DOBRA 80X40X3 912 *;7896932409126;Categoria 1;46.29;74.93
10066 - ASSADEIRA ABC RET.ESTAM.GRELHA N-5 982;7896932409829;Categoria 1;41.67;77.64
10067 - BACIA UNIVERSAL N-50 R:100;7896932401007;Categoria 1;17.31;30.75
10068 - BACIA UNIVERSAL N-60 R:106;7896932401089;Categoria 1;22.86;39.18
10069 - CACAROLA UNIVERSAL HOTEL 55 R:224;7896932402240;Categoria 1;135.74;240.43
10070 - CACAROLA UNIVERSAL HOTEL 60 R:227;7896932402271;Categoria 1;166.28;294.71
10071 - CALDEIRAO UNIVERSAL HOTEL EXTRA 36 32,5L 622;7898313856222;Categoria 1;54.07;91.19
10072 - BAILARINA PRANA+KIT C/BICOS E SACOS 108659005;838485022435;Categoria 1;160.6;264.07
10073 - TRAVESSA DECORGLASS RETANGULAR G 0867;7899084108671;Categoria 1;18.21;30.58
10074 - TRAVESSA DECORGLASS TRIANGULAR G 0868;7899084108688;Categoria 1;21.69;36.57
10075 - PRATO DECORGLASS QUADRADA PE APERITIVO 1160;7899084111602;Categoria 1;23.91;40.35
10076 - BARCA DECORGLASS APERITIVO G 1161;7899084111619;Categoria 1;22.15;37.41
10077 - TRAVESSA DECORGLASS APERITIVO RET 1164;7899084111640;Categoria 1;19.37;32.69
10078 - BOWL DECORGLASS SALADA G 1166;7899084111674;Categoria 1;22.15;37.41
10079 - PETISQUEIRA DECOR SALADA RET 1168;7899084111688;Categoria 1;17.52;29.58
10080 - BANDEJA DECOR SNACKS G 1170;7899084111701;Categoria 1;22.89;38.63
10081 - BARCA DECORGLASS SNACKS G 1171;7899084111718;Categoria 1;22.15;37.41
10082 - PETISQUEIRA DECOR SNACKS RET 1172;7899084111725;Categoria 1;17.52;29.58
10083 - TRAVESSA DECOR GASTRO OVAL LOC MD 616;10083;Categoria 1;25.81;42.74
10084 - CJ.DECORGLASS PIZZA C/04 PRATOS 1280;7899016012809;Categoria 1;57.59;94.02
10085 - PRATO DECORGLASS SAFARI MEG QUAD 1477;7899084114771;Categoria 1;30.77;51.95
10086 - CJ.DECORGLASS VITORIA EXTRA RASA C/06BOWL4611;7899084146116;Categoria 1;80.64;85.58
10087 - CJ.DECORGLASS TRAVESSA ONDULADA RET 03P 4803;7899084148035;Categoria 1;23.86;40.29
10088 - CJ.DECORGLASS BOWLS REDONDO DALIA 02P 5038;7899084150380;Categoria 1;30.12;50.84
10089 - CJ.DECORGLASS SOBREMESA DALIA 07P 5042;10089;Categoria 1;38.84;65.43
10090 - PETISQUEIRA DECORGLASS OVAL 5048;7899084150489;Categoria 1;15.48;26.09
10091 - CJ.DECORGLASS TRAVESSA DAISY OVAL 03P 8809;7899084188093;Categoria 1;31.05;52.39
10092 - TIGELA DECORGLASS VERDE FLOR ROSA;10092;Categoria 1;4.2;4.66
10093 - PETISQUEIRA DECORGLASS DAISY CHIP RED 8837;7899084188376;Categoria 1;21.22;35.85
10095 - BOWL DECORGLASS CANCUN COLORI RED 0396;7899084103966;Categoria 1;16.31;27.53
10096 - BANDEJA DECORGLASS COLORI RET 0398;7899084103980;Categoria 1;16.35;27.64
10097 - TRAVESSA DECOR GASTRO MEG EXTRA 427;7899016004279;Categoria 1;30;50.62
10098 - TRAVESSA DECOR GASTRO RET RIO EXTRA 431;7899016004316;Categoria 1;30.36;50.51
10099 - TRAVESSA DECOR GASTRO RET LOC EXTRA 435;7899084104352;Categoria 1;34.84;58.77
10100 - TRAVESSA DECOR GASTRO RET LOC GDE 436;7899084104369;Categoria 1;30.14;49.89
10101 - ASPIRADOR PO BLACK&DECKER LAS2000X;10101;Categoria 1;133.67;218.12
10102 - BOWL DECOR GASTRO TANGO GDE 0440;7899084104406;Categoria 1;37.6;62.6
10103 - BANDEJA DECORGLASS RED ALCA ALUM 0501;7899084105014;Categoria 1;36.98;62.44
10104 - BASE DECORGLASS RED MULTI USO GDE 0502;7899084105021;Categoria 1;29.01;48.95
10105 - TRAVESSA DECOR GASTRO RED TANGO GDE 444;10105;Categoria 1;36.91;60.99
10106 - SUPORTE DECORGLASS BUFFET RED 03AND 0507;7899084105076;Categoria 1;93.7;158.12
10107 - BASE TRAMONTINA OMBRELONE CONCRETO 25KG 10999/056;10107;Categoria 1;224.42;306
10108 - BASE DECOR METAL RED GDE 444 55;10108;Categoria 1;16.6;27.25
10109 - TRAVESSA DECOR GASTRO OVAL LOC EXTRA 614;7899016006143;Categoria 1;36.9;60.99
1011 - LEITEIRA ZANELLA FERVEDOR 5005;1011;Categoria 1;49.9;55.39
10110 - TRAVESSA DECOR GASTRO OVAL LOC GDE 615;7899084106150;Categoria 1;30.14;49.89
10111 - TRAVESSA DECOR GASTRO QUAD MARES GDE 617;7899016006174;Categoria 1;36.9;60.99
10112 - TRAVESSA DECOR GASTRO QUAD MARES MED 618;7899016006181;Categoria 1;28.65;47.67
10113 - TRAVESSA DECOR GASTRO RET FUNDA EXT 620;7899016006204;Categoria 1;34.25;57.17
10114 - TRAVESSA DECOR GASTRO RET FUNDA GDE 621;7899016006211;Categoria 1;25.72;42.74
10115 - TRAVESSA DECOR GASTRO QUAD FUNDA EXT 623;7899016006235;Categoria 1;38.45;63.83
10116 - TRAVESSA DECORGLASS QUAD FUNDA EXTRA VAL 0719;7899084107193;Categoria 1;20.02;33.74
10117 - TRAVESSA DECORGLASS VALSA FUNDA GDE 0720;7899084107209;Categoria 1;17.1;28.8
10118 - BOWL DECOR DAISY EXTRA 8838;7899084188383;Categoria 1;26.79;45.23
1012 - CHALEIRA TRAMONTINA INOX 2L 61482/180;7891116000144;Categoria 1;160;0.01
10121 - CONDICION.AR ELECTROLUX FRIO 7500BTUS;10121;Categoria 1;558.56;876.9
10122 - TRAVESSA BACI MELANINA PQ;10122;Categoria 1;10.9;12.1
10123 - TRAVESSA ARTHOME TRENDY 26CM LH018BR;7894741061627;Categoria 1;16.2;26.58
10124 - PORTA CEREAL ALIMPORT VERM.41CM ZG00103S;7898504188811;Categoria 1;93.93;161.51
10125 - PORTA CEREAL ALIMPORT DUPLO 41CM ZG00202;10125;Categoria 1;139.55;235.71
10126 - MIXER SUGGAR MX2022;10126;Categoria 1;33.93;54.33
10127 - PETISQUEIRA OXFORD 30CM;7891361738731;Categoria 1;45.84;98.3
10128 - PRATO BENC GIRATORIO PRETO 35CM 74133;7898463610477;Categoria 1;42.56;73.15
10129 - PRATO BENC BLACK&WHITE FLOWER 35CM 74083;10129;Categoria 1;36.16;60.94
10130 - PRATO BENC GIRATORIO GRAY FOWER 35M 74084;7898463603363;Categoria 1;42.89;71.6
10131 - PRATO BENCAFIL GIRATORIO DOUBLE FLOWER 74091;7898463604223;Categoria 1;42.56;73.15
10132 - PRATO BENC GIRATORIO WHITE ROSES 74092;7898463604230;Categoria 1;48.11;82.03
10133 - PRATO BENCAFIL GIRATORIO CLASSIC 45CM 74093;10133;Categoria 1;43.39;73.15
10134 - TRAVESSA BENCAFIL BRANCA 55X41 80006;10134;Categoria 1;43.28;72.98
10135 - TRAVESSA BENCAFIL RET.34X24,5X6 87003;7898463600690;Categoria 1;45.56;76.81
10136 - PETISQUEIRA TOYLAND TRIANG 24X24,5 05564019;10136;Categoria 1;13.06;23.87
10138 - PANELA MONTE CASTELO HOTEL FERRO 08L;10138;Categoria 1;81.27;133.87
10139 - PANELA MONTE CASTELO HOTEL FERRO 11L;7898189168368;Categoria 1;105.24;173.33
10140 - PANELA MONTE CASTELO HOTEL FERRO 14L;7898189168375;Categoria 1;134.05;220.67
10141 - ASSADEIRA MONTE CASTEO HOTEL FERRO 40X8 TPA;7898189169792;Categoria 1;100.01;164.72
10142 - COLHER FUT POLIETILENO 450MM 404;7898458744040;Categoria 1;9.94;18.81
10144 - RAMEQUIM TOYLAND RED 5X7 05564016;10144;Categoria 1;3.06;5.49
10145 - FERRO BLACK&DECKER VALOR GLISS AJ2056-B2;10145;Categoria 1;99.58;159.29
10146 - LIQUIDIF.BLACK&DECKER EXCELLENCE LE700-B2;10146;Categoria 1;156.42;255.47
10147 - AQUECEDOR CADENCE HALOGENIO 1200W AQC409;10147;Categoria 1;74.61;117.33
10148 - AQUECEDOR CADENCE OLEO AQC410;10148;Categoria 1;151.75;238.76
10149 - CAFETEIRA ELETR. ARNO SELEZIONE CAFS 220V;10149;Categoria 1;115.56;256.97
10150 - BANDEJA MALTA RED INOX EMB.38CM 3101764;10150;Categoria 1;34.89;58.05
10151 - BOTIJAO APOLO TERMICO 7,7L AX361;10151;Categoria 1;87.79;143.91
10152 - CACAROLA CASSEROLE TPA N-05 10150;7898275560212;Categoria 1;67.41;110.94
10153 - CACAROLA CASSEROLE TPA N-02 10120;7898275560182;Categoria 1;28.99;51.28
10154 - CACAROLA CASSEROLE TPA N-03 10130;7898275560199;Categoria 1;36;59.33
10155 - CACAROLA CASSEROLE TPA N-04 10140;7898275560205;Categoria 1;45.83;75.54
10156 - CACAROLA CASSEROLE TPA N-06 10160;7898275560267;Categoria 1;85.39;140.64
10157 - CUMBUCA CASSEROLE N-02 30040;10157;Categoria 1;5.15;8.49
10158 - RECHAUD CASSEROLE ASSADEIRA RET N-04 1047;10158;Categoria 1;161.83;288.6
10159 - RECHAUD CASSEROLE CACAROLA N.06 1057;10159;Categoria 1;177.14;291.76
1016 - CHALEIRA VALINOX C/COADOR R:549;7896230700406;Categoria 1;12.6;13.99
10160 - RECHAUD CASSEROLE ASSADEIRA OVAL N-04 1042;10160;Categoria 1;137.77;226.94
10161 - RECHAUD CASSEROLE COLONIAL PANELA MED 1053;10161;Categoria 1;148.71;244.98
10162 - RECHAUD CASSEROLE COLONIAL TRAVESSA R GD 1046;10162;Categoria 1;173.86;331.89
10163 - RECHAUD CASSEROLE COLONIAL TRAVESSA O PQ 1040;10163;Categoria 1;184.79;316.35
10164 - RECHAUD CASSEROLE COLONIAL TRAVESSA O MD 1041;10164;Categoria 1;170.58;321.9
10165 - CAFETEIRA ELETR. CADENCE EXPRESS 315 220V;10165;Categoria 1;228.26;359.81
10166 - CENTRIFUGA FRUTAS CADENCE QUALITA JCR700;10166;Categoria 1;123.58;194.86
10167 - LIQUIDIF.CADENCE CRISTAL PTO/FILTRO LIQ795;10167;Categoria 1;52.05;83.75
10168 - RECHAUD CASSEROLE COLONIAL PANELA PEQ 1054;10168;Categoria 1;125.74;207.13
10169 - PA MELANINA FUT USINADO 15X70X500MM 388;7898458743883;Categoria 1;18.65;35.24
1017 - CHALEIRA VALINOX INOX 1,5L;A415;Categoria 1;10.95;12.15
10170 - SOUSPLAT MIMO STYLE QUAD CROCO SP10106;7898452510368;Categoria 1;11.67;0.01
10171 - TIGELA BRINOX MULTIUSO SILICONE 18 2107/010;7896502824618;Categoria 1;15.06;23.81
10172 - SALEIRO BRINOX SUPREMA 660G 2093/100;7896502800629;Categoria 1;46.36;77.64
10173 - LIXEIRA BRINOX PEDAL 20L R:3045/204;7896502889679;Categoria 1;116.67;184.43
10174 - LIXEIRA BRINOX PEDAL 30L 3045/205;7896502889686;Categoria 1;175.03;291.38
10175 - PEGADOR BRINOX NYLON UNIVERSAL 2241/333;7896502805693;Categoria 1;8.78;14.37
10176 - ESPATULA BRINOX PRECISION SERRILHA 2508/300;7896502800407;Categoria 1;4.43;7.22
10177 - ESPATULA BRINOX PRECISION RASPADORA 2508/302;7896502800452;Categoria 1;8.3;13.99
10178 - ESPATULA BRINOX PRECISION FRITURA 2508/304;7896502800490;Categoria 1;8.78;14.15
10179 - PEGADOR BRINOX NYLON MASSA 2241/330;7896502807574;Categoria 1;8.19;13.82
10180 - LIXEIRA BRINOX PEDAL 12L R:3044/202 QUADRADA;7896502889754;Categoria 1;107.34;169.61
10181 - RASPADOR TRAMONTINA 4X6 PROF 24687/080;7891112054295;Categoria 1;32.11;60.61
10182 - ESPATULA BRINOX PRECISION RASPADORA 2508/303;7896502800483;Categoria 1;9.89;16.26
10183 - TRAVESSA BRINOX LYON RED TPA/VDO 35 2391/135;7896502892242;Categoria 1;85.44;135.09
10184 - VAPOREIRA BRINOX LYON 520ML 2361/001;7896502836178;Categoria 1;29.94;48.73
10185 - COLHER BRINOX LYON CAFE 5100/108;7896502884537;Categoria 1;0.6;1.42
10186 - LIXEIRA BRINOX PEDAL 06L R:3044/201 QUADRADA;7896502889747;Categoria 1;76.24;120.55
